OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-03-01T00:00:00,2024-03-31T23:59:59,Month,2025-03,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,221747,299383,201637,160660,105299
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-03-01T00:00:00,2024-03-31T23:59:59,Month,2025-03,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,189785,258323,171832,131992,80827
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-03-01T00:00:00,2024-03-31T23:59:59,Month,2025-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,221280,284883,193189,152450,100775
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-03-01T00:00:00,2024-03-31T23:59:59,Month,2025-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,183213,301726,202461,157425,109646
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-03-01T00:00:00,2024-03-31T23:59:59,Month,2025-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,244434,307836,209038,172633,122304
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-03-01T00:00:00,2024-03-31T23:59:59,Month,2025-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,223725,276253,190921,152699,96704
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-03-01T00:00:00,2024-03-31T23:59:59,Month,2025-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,256969,366531,238616,192213,116376
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-03-01T00:00:00,2024-03-31T23:59:59,Month,2025-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,214925,294169,189948,148930,94836
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2025-05-22T00:00:00,2024-02-28T23:59:59,Month,2025-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,220624,299244,199978,159017,104140
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2025-05-22T00:00:00,2024-02-28T23:59:59,Month,2025-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,185943,254445,167568,128445,78438
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2025-05-22T00:00:00,2024-02-28T23:59:59,Month,2025-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,222647,287754,193608,152684,100657
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2025-05-22T00:00:00,2024-02-28T23:59:59,Month,2025-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,183241,304302,202567,156995,108953
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2025-05-22T00:00:00,2024-02-28T23:59:59,Month,2025-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,242191,306443,206124,170283,120314
