Month,GeoEntityName,GeoCode,GeoName,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
1,County,10000019,Lincolnshire,219618,298124,198871,158118,103915
1,District Council,7000136,Boston,186295,255212,167763,128460,78391
1,District Council,7000137,East Lindsey,222874,288113,193796,152712,100798
1,District Council,7000138,Lincoln,180555,300415,199785,154492,107192
1,District Council,7000139,North Kesteven,236692,300082,200958,165990,117858
1,District Council,7000140,South Holland,223804,277823,189471,151966,96095
1,District Council,7000141,South Kesteven,259052,371613,239943,192552,116239
1,District Council,7000142,West Lindsey,207999,286237,183256,143039,91213
2,County,10000019,Lincolnshire,220624,299244,199978,159017,104140
2,District Council,7000136,Boston,185943,254445,167568,128445,78438
2,District Council,7000137,East Lindsey,222647,287754,193608,152684,100657
2,District Council,7000138,Lincoln,183241,304302,202567,156995,108953
2,District Council,7000139,North Kesteven,242191,306443,206124,170283,120314
2,District Council,7000140,South Holland,225596,279736,191462,153161,96711
2,District Council,7000141,South Kesteven,254357,364504,235631,189426,114175
2,District Council,7000142,West Lindsey,211466,290918,186366,145481,92661
3,County,10000019,Lincolnshire,221747,299383,201637,160660,105299
3,District Council,7000136,Boston,189785,258323,171832,131992,80827
3,District Council,7000137,East Lindsey,221280,284883,193189,152450,100775
3,District Council,7000138,Lincoln,183213,301726,202461,157425,109646
3,District Council,7000139,North Kesteven,244434,307836,209038,172633,122304
3,District Council,7000140,South Holland,223725,276253,190921,152699,96704
3,District Council,7000141,South Kesteven,256969,366531,238616,192213,116376
3,District Council,7000142,West Lindsey,214925,294169,189948,148930,94836
4,County,10000019,Lincolnshire,211752,287538,190869,152240,103127
4,District Council,7000136,Boston,180926,247969,162395,124649,77783
4,District Council,7000137,East Lindsey,212261,274274,183977,145325,98649
4,District Council,7000138,Lincoln,175425,291057,193896,149671,106447
4,District Council,7000139,North Kesteven,227944,289433,192440,159231,117646
4,District Council,7000140,South Holland,216412,269321,181655,146991,96392
4,District Council,7000141,South Kesteven,252566,363578,232588,186719,115686
4,District Council,7000142,West Lindsey,197890,273005,173256,135950,90356
5,County,10000019,Lincolnshire,213941,290212,192911,154140,104082
5,District Council,7000136,Boston,185582,254294,166592,127904,79811
5,District Council,7000137,East Lindsey,215070,277820,186473,147339,99923
5,District Council,7000138,Lincoln,179373,297221,198122,153208,108872
5,District Council,7000139,North Kesteven,232183,294650,196157,162382,119640
5,District Council,7000140,South Holland,215157,267650,180743,146269,95481
5,District Council,7000141,South Kesteven,251704,362041,231903,186319,115142
5,District Council,7000142,West Lindsey,200812,276855,175926,138054,91523
6,County,10000019,Lincolnshire,210839,285650,190295,152258,102215
6,District Council,7000136,Boston,183627,250979,165002,127190,79072
6,District Council,7000137,East Lindsey,210125,270983,182401,144575,97493
6,District Council,7000138,Lincoln,175082,289300,193149,149960,106057
6,District Council,7000139,North Kesteven,230518,292166,194964,161773,118477
6,District Council,7000140,South Holland,213522,265105,179620,145923,94704
6,District Council,7000141,South Kesteven,247613,355337,228297,183942,113142
6,District Council,7000142,West Lindsey,199119,273711,174726,137440,90586
7,County,10000019,Lincolnshire,212201,287241,191669,153610,102275
7,District Council,7000136,Boston,187349,255852,168479,130058,80239
7,District Council,7000137,East Lindsey,206796,266684,179575,142437,95444
7,District Council,7000138,Lincoln,176060,290770,194384,150978,105952
7,District Council,7000139,North Kesteven,230721,292364,195256,162058,118004
7,District Council,7000140,South Holland,217477,269942,182999,148843,96131
7,District Council,7000141,South Kesteven,250384,359154,230983,186288,113871
7,District Council,7000142,West Lindsey,202773,278533,177980,140169,91840
8,County,10000019,Lincolnshire,214525,290867,193754,155075,102474
8,District Council,7000136,Boston,189938,259186,170886,132181,80947
8,District Council,7000137,East Lindsey,211230,272218,183490,145911,97156
8,District Council,7000138,Lincoln,173575,286589,191604,149053,103983
8,District Council,7000139,North Kesteven,230295,291601,195019,162286,117199
8,District Council,7000140,South Holland,224534,278401,189262,153971,98744
8,District Council,7000141,South Kesteven,251646,360739,232124,187713,113940
